,state,category,cat_median,cat_25,cat_75,cat_max,cat_min,state_median,state_25,state_75,state_max,state_min,state_cat_median,state_cat_25,state_cat_75,state_cat_max,state_cat_min
230762,OH,Cafes,3.824644549763033,3.25,4.275862068965517,5.0,1.3333333333333333,3.462121212121212,2.8,4.0,5.0,1.0,3.7799433026222538,3.207894736842105,4.194852941176471,5.0,2.6
230846,ON,Caribbean,3.8,3.4,4.176929392446634,5.0,1.25,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.75,3.334745762711864,4.1312500000000005,5.0,1.25
231847,ON,Greek,3.625,3.0928683385579934,4.0,5.0,1.3333333333333333,3.3974358974358974,2.875,3.8615384615384616,5.0,1.0,3.2403846153846154,2.75,3.7463709677419352,5.0,1.3333333333333333
233232,PA,Chinese,3.3333333333333335,2.888888888888889,3.75,5.0,1.0,3.5,3.0,4.0,5.0,1.0,3.4,2.925,3.880952380952381,5.0,1.0
233373,WI,Sandwiches,3.5,2.8333333333333335,4.0,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.3333333333333335,2.7375,3.694444444444444,5.0,1.1818181818181819
233410,WI,American (Traditional),3.3275862068965516,2.8276785714285717,3.7682005494505493,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.580914368650218,3.216666666666667,3.946428571428571,4.777777777777778,2.0
233487,WI,Chicken Wings,2.857142857142857,2.2,3.531100478468899,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,2.5277777777777777,2.1535326086956523,3.025,4.666666666666667,1.0
233515,WI,Mexican,3.451216287678477,2.9310344827586206,3.9444444444444446,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.425485008818342,2.92434988179669,4.0,4.666666666666667,1.4137931034482758
233569,WI,American (New),3.515151515151515,3.0,3.99271499644634,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.5,2.8956632653061227,3.9703255545952176,4.75,1.3333333333333333
233658,WI,Asian Fusion,3.5555555555555554,3.059831932773109,3.973373983739837,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.5672514619883042,3.01123595505618,3.903730569948187,4.487394957983193,2.0
233681,WI,Steakhouses,3.4615384615384617,3.0,3.926470588235294,5.0,1.3333333333333333,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.2701953922426363,3.025,3.547348484848485,4.110576923076923,2.193548387096774
234219,WI,Pizza,3.370967741935484,2.6821789321789318,3.8925070028011204,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.263157894736842,2.6666666666666665,3.9528323398156293,4.5852272727272725,1.25
234438,WI,Cafes,3.824644549763033,3.25,4.275862068965517,5.0,1.3333333333333333,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,4.0,3.6826923076923075,4.325757575757576,5.0,3.1785714285714284
235348,WI,Burgers,3.0,2.25,3.6111632270168856,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.212121212121212,2.0454545454545454,3.708333333333333,4.666666666666667,1.0
235712,WI,Italian,3.585144927536232,3.085714285714286,4.0,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.391304347826087,2.7142857142857144,3.8,4.666666666666667,1.6666666666666667
236273,WI,Salad,3.701063829787234,3.154840848806366,4.0947273197208585,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.591444600280505,2.9330357142857144,4.099921383647799,4.448979591836735,2.272727272727273
236297,WI,Fast Food,2.6666666666666665,2.066666666666667,3.3513513513513513,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,2.6666666666666665,1.8,3.5,4.454545454545454,1.0
236374,WI,Chinese,3.3333333333333335,2.888888888888889,3.75,5.0,1.0,3.4716981132075473,2.888888888888889,3.9671455938697315,5.0,1.0,3.3773584905660377,2.9285714285714284,3.75,5.0,1.25
246681,NV,Bakeries,3.923076923076923,3.3461538461538463,4.321428571428571,5.0,1.0,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,4.071428571428571,3.5,4.428571428571429,4.866666666666666,1.9583333333333333
255612,NV,Greek,3.625,3.0928683385579934,4.0,5.0,1.3333333333333333,3.464720013869282,2.8333333333333335,3.9868831407081267,5.0,1.0,3.847434390912652,3.6704545454545454,4.140695488721804,4.7975460122699385,1.8888888888888888
260483,AZ,Bakeries,3.923076923076923,3.3461538461538463,4.321428571428571,5.0,1.0,3.449781659388646,2.8125,3.9444444444444446,5.0,1.0,3.606736816642477,3.1818181818181817,4.201186744290193,5.0,1.0
275280,NC,Breakfast & Brunch,3.608695652173913,3.111111111111111,4.0,5.0,1.2222222222222223,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.515151515151515,2.992063492063492,4.0,5.0,1.25
275623,NC,Seafood,3.5789473684210527,3.104054054054054,4.0,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,3.5384615384615383,3.0,4.0511695906432745,4.75,1.6363636363636365
275752,NC,Fast Food,2.6666666666666665,2.066666666666667,3.3513513513513513,5.0,1.0,3.4,2.7857142857142856,3.8979591836734695,5.0,1.0,2.6,2.0,3.3333333333333335,5.0,1.0
